Student ID,Full Name,Arabic Name,Gender,Date of Birth,Nationality,ID Type,National ID,Iqama Number,Passport Number,Religion,Birth Place,Division,Grade,Section,Academic Year,Roll No.,Enrollment Type,Study Mode,Fee Category,Admission Date,Active,Father Name,Mother Name,Guardian Phone,Guardian Email,Address
,Salma Al-Dosari,سلمى الدوسري,Female,2019-01-09,Saudi Arabia,National ID,1563538926,,,Muslim,Dammam,BRITISH,KG2,A,2024-25,169,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,Adel Al-Dosari,Aljawhara Al-Dosari,+966518683463,salma.aldosari169@parent.com,"297 Al-Nuzha Street, Jeddah"
,Sophia Shaikh,سوفيا شيخ,Female,2020-12-13,Jordan,Iqama,,2662676973,,Muslim,Sanaa,BRITISH,Grade 1,A,2024-25,170,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Vihaan Shaikh,Riya Shaikh,+966547255608,sophia.shaikh170@parent.com,"205 Al-Nuzha Street, Jeddah"
,Saanvi Reddy,سانفي ريدي,Female,2019-11-28,Syria,Iqama,,2307149640,,Muslim,Manila,BRITISH,Grade 2,A,2024-25,171,Transfer,Regular Mode,Transfer,2025-09-01,Yes,Imran Reddy,Zoe Reddy,+966555048049,saanvi.reddy171@parent.com,"81 Al-Nuzha Street, Jeddah"
,Khadija Wang,خديجة وانج,Female,2018-04-20,Bangladesh,Iqama,,2898240371,,Muslim,Khartoum,BRITISH,Grade 3,A,2024-25,172,Regular (Continuing),Online Mode,Regular,2023-09-01,Yes,Zayn Wang,Anaya Wang,+966598228149,khadija.wang172@parent.com,"79 Al-Nuzha Street, Jeddah"
,Anas Al-Saud,أنس آل سعود,Male,2017-09-08,Saudi Arabia,National ID,1860810067,,,Muslim,Mecca,BRITISH,Grade 4,A,2024-25,173,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,Saud Al-Saud,Raghad Al-Saud,+966549910639,anas.alsaud173@parent.com,"205 Al-Nuzha Street, Jeddah"
,Saud Al-Sabah,سعود الصباح,Male,2016-07-26,Saudi Arabia,National ID,1481463399,,,Muslim,Madinah,BRITISH,Grade 5,A,2024-25,174,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Hatim Al-Sabah,Manal Al-Sabah,+966534506965,saud.alsabah174@parent.com,"252 Al-Nuzha Street, Jeddah"
,Maya Kim,مايا كيم,Female,2015-03-21,Jordan,Iqama,,2993593465,,Muslim,Damascus,BRITISH,Grade 6,A,2024-25,175,New Student,Seasonal Mode,New,2023-09-01,Yes,Adam Kim,Sana Kim,+966503003125,maya.kim175@parent.com,"278 Al-Nuzha Street, Jeddah"
,Diya Patel,ديا باتل,Female,2014-01-12,Pakistan,Iqama,,2294235444,,Muslim,Amman,BRITISH,Grade 7,A,2024-25,176,Regular (Continuing),Online Mode,Regular,2022-09-01,Yes,Mustafa Patel,Sana Patel,+966508574356,diya.patel176@parent.com,"32 Al-Nuzha Street, Jeddah"
,Ammar Al-Dosari,عمار الدوسري,Male,2013-09-07,Saudi Arabia,National ID,1481646444,,,Muslim,Mecca,BRITISH,Grade 8,A,2024-25,177,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Hassan Al-Dosari,Jana Al-Dosari,+966510477763,ammar.aldosari177@parent.com,"123 Al-Nuzha Street, Jeddah"
,Sana Siddiqui,سناء صديقي,Female,2012-08-02,Indonesia,Passport,,,AF8131369,Muslim,Manila,BRITISH,Grade 9,A,2024-25,178,Regular (Continuing),Online Mode,Regular,2023-09-01,Yes,Ayaan Siddiqui,Layla Siddiqui,+966589317567,sana.siddiqui178@parent.com,"80 Al-Nuzha Street, Jeddah"
,Priya Ali,بريا علي,Female,2011-11-20,Indonesia,Iqama,,2274368673,,Non-Muslim,Dhaka,BRITISH,Grade 10,A,2024-25,179,Transfer,Online Mode,Transfer,2023-09-01,Yes,Hamza Ali,Sophia Ali,+966514199434,priya.ali179@parent.com,"110 Al-Nuzha Street, Jeddah"
,Salma Al-Harbi,سلمى الحربي,Female,2010-10-12,Saudi Arabia,National ID,1403836478,,,Muslim,Riyadh,BRITISH,Grade 11,A,2024-25,180,Regular (Continuing),Seasonal Mode,Regular,2022-09-01,Yes,Ammar Al-Harbi,Fatima Al-Harbi,+966595975866,salma.alharbi180@parent.com,"213 Al-Nuzha Street, Jeddah"
,Layla Al-Hussein,ليلى الحسين,Female,2009-09-10,Saudi Arabia,National ID,1866714987,,,Non-Muslim,Abha,BRITISH,Grade 12,A,2024-25,181,Transfer,Online Mode,Transfer,2023-09-01,Yes,Saud Al-Hussein,Jana Al-Hussein,+966581062159,layla.alhussein181@parent.com,"207 Al-Nuzha Street, Jeddah"
,Ammar Al-Hashemi,عمار الهاشمي,Male,2020-09-14,Saudi Arabia,National ID,1059136503,,,Muslim,Tabuk,BRITISH,KG1,A,2024-25,182,New Student,Seasonal Mode,New,2023-09-01,Yes,Anas Al-Hashemi,Salma Al-Hashemi,+966570732356,ammar.alhashemi182@parent.com,"177 Al-Nuzha Street, Jeddah"
,Hamad Al-Ghamdi,حمد الغامدي,Male,2019-05-08,Saudi Arabia,National ID,1156937523,,,Muslim,Khobar,BRITISH,KG2,A,2024-25,183,New Student,Seasonal Mode,New,2024-09-01,Yes,Fahad Al-Ghamdi,Tala Al-Ghamdi,+966546773029,hamad.alghamdi183@parent.com,"90 Al-Nuzha Street, Jeddah"
,Sara Al-Rashid,سارة الراشد,Female,2020-05-17,Saudi Arabia,National ID,1070631970,,,Muslim,Abha,BRITISH,Grade 1,A,2024-25,184,New Student,Online Mode,New,2023-09-01,Yes,Majed Al-Rashid,Salma Al-Rashid,+966536922763,sara.alrashid184@parent.com,"212 Al-Nuzha Street, Jeddah"
,Layla Hussain,ليلى حسين,Female,2019-02-25,Bangladesh,Iqama,,2052299227,,Non-Muslim,Amman,BRITISH,Grade 2,A,2024-25,185,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Imran Hussain,Layla Hussain,+966582619184,layla.hussain185@parent.com,"208 Al-Nuzha Street, Jeddah"
,Hassan Shaikh,حسن شيخ,Male,2018-12-28,Sudan,Passport,,,AD9988725,Muslim,Dhaka,BRITISH,Grade 3,A,2024-25,186,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Adam Shaikh,Saanvi Shaikh,+966546865266,hassan.shaikh186@parent.com,"276 Al-Nuzha Street, Jeddah"
,Layla Brown,ليلى براون,Female,2017-03-07,Egypt,Passport,,,FF7387626,Muslim,Mumbai,BRITISH,Grade 4,A,2024-25,187,New Student,Online Mode,New,2024-09-01,Yes,Adam Brown,Sadia Brown,+966554849400,layla.brown187@parent.com,"53 Al-Nuzha Street, Jeddah"
,Shaden Al-Yamani,شادن اليماني,Female,2016-04-10,Saudi Arabia,National ID,1996822839,,,Muslim,Dammam,BRITISH,Grade 5,A,2024-25,188,New Student,Regular Mode,New,2023-09-01,Yes,Turki Al-Yamani,Fatima Al-Yamani,+966595885297,shaden.alyamani188@parent.com,"215 Al-Nuzha Street, Jeddah"
,Hessa Al-Hussein,حصة الحسين,Female,2015-05-08,Saudi Arabia,National ID,1795664929,,,Muslim,Khobar,BRITISH,Grade 6,A,2024-25,189,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Yousef Al-Hussein,Tala Al-Hussein,+966593506487,hessa.alhussein189@parent.com,"265 Al-Nuzha Street, Jeddah"
,Hessa Al-Yamani,حصة اليماني,Female,2014-11-19,Saudi Arabia,National ID,1892540394,,,Non-Muslim,Khobar,BRITISH,Grade 7,A,2024-25,190,Transfer,Seasonal Mode,Transfer,2025-09-01,Yes,Saud Al-Yamani,Manal Al-Yamani,+966561576682,hessa.alyamani190@parent.com,"221 Al-Nuzha Street, Jeddah"
,Maha Al-Anazi,مها العنزي,Female,2013-01-16,Saudi Arabia,National ID,1233391312,,,Muslim,Tabuk,BRITISH,Grade 8,A,2024-25,191,New Student,Seasonal Mode,New,2022-09-01,Yes,Saif Al-Anazi,Wafa Al-Anazi,+966551291762,maha.alanazi191@parent.com,"229 Al-Nuzha Street, Jeddah"
,Salma Al-Sudais,سلمى السديس,Female,2012-08-18,Saudi Arabia,National ID,1098722802,,,Muslim,Khobar,BRITISH,Grade 9,A,2024-25,192,Regular (Continuing),Seasonal Mode,Regular,2024-09-01,Yes,Ammar Al-Sudais,Manal Al-Sudais,+966510667642,salma.alsudais192@parent.com,"287 Al-Nuzha Street, Jeddah"
,Omar Al-Hussein,عمر الحسين,Male,2011-10-22,Saudi Arabia,National ID,1162121269,,,Muslim,Riyadh,BRITISH,Grade 10,A,2024-25,193,Regular (Continuing),Online Mode,Regular,2024-09-01,Yes,Ammar Al-Hussein,Aisha Al-Hussein,+966555138629,omar.alhussein193@parent.com,"204 Al-Nuzha Street, Jeddah"
,Reem Al-Saud,ريم آل سعود,Female,2010-05-15,Saudi Arabia,National ID,1261783196,,,Muslim,Riyadh,BRITISH,Grade 11,A,2024-25,194,New Student,Regular Mode,New,2025-09-01,Yes,Omar Al-Saud,Shaden Al-Saud,+966521605486,reem.alsaud194@parent.com,"269 Al-Nuzha Street, Jeddah"
,Latifa Al-Sudais,لطيفة السديس,Female,2009-03-06,Saudi Arabia,National ID,1655914868,,,Non-Muslim,Khobar,BRITISH,Grade 12,A,2024-25,195,Regular (Continuing),Regular Mode,Regular,2024-09-01,Yes,Saud Al-Sudais,Sara Al-Sudais,+966549528387,latifa.alsudais195@parent.com,"53 Al-Nuzha Street, Jeddah"
,Saif Al-Yamani,سيف اليماني,Male,2020-05-28,Saudi Arabia,National ID,1275272326,,,Non-Muslim,Riyadh,BRITISH,KG1,A,2024-25,196,Transfer,Seasonal Mode,Transfer,2023-09-01,Yes,Saif Al-Yamani,Renad Al-Yamani,+966509531401,saif.alyamani196@parent.com,"253 Al-Nuzha Street, Jeddah"
,Lama Al-Qahtani,لمى القحطاني,Female,2019-11-16,Saudi Arabia,National ID,1394873203,,,Non-Muslim,Buraidah,BRITISH,KG2,A,2024-25,197,Regular (Continuing),Online Mode,Regular,2023-09-01,Yes,Raed Al-Qahtani,Latifa Al-Qahtani,+966516004006,lama.alqahtani197@parent.com,"76 Al-Nuzha Street, Jeddah"
,Junaid Saleh,جنيد صالح,Male,2020-02-03,India,Iqama,,2436032069,,Muslim,Cairo,BRITISH,Grade 1,A,2024-25,198,New Student,Regular Mode,New,2023-09-01,Yes,Aryan Saleh,Anvi Saleh,+966590793381,junaid.saleh198@parent.com,"161 Al-Nuzha Street, Jeddah"
,Sara Al-Qahtani,سارة القحطاني,Female,2019-11-10,Saudi Arabia,National ID,1528625720,,,Muslim,Madinah,BRITISH,Grade 2,A,2024-25,199,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Yousef Al-Qahtani,Aisha Al-Qahtani,+966598634296,sara.alqahtani199@parent.com,"10 Al-Nuzha Street, Jeddah"
,Junaid Gupta,جنيد جوبتا,Male,2018-01-19,India,Iqama,,2866026088,,Muslim,London,BRITISH,Grade 3,A,2024-25,200,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,Bilal Gupta,Nour Gupta,+966585454254,junaid.gupta200@parent.com,"44 Al-Nuzha Street, Jeddah"
,Aisha Mansoor,عائشة منصور,Female,2017-08-10,India,Iqama,,2491945573,,Muslim,Karachi,BRITISH,Grade 4,A,2024-25,201,Regular (Continuing),Seasonal Mode,Regular,2023-09-01,Yes,Aryan Mansoor,Zoe Mansoor,+966516844499,aisha.mansoor201@parent.com,"109 Al-Nuzha Street, Jeddah"
,Faisal Al-Yamani,فيصل اليماني,Male,2016-10-21,Saudi Arabia,National ID,1349134636,,,Non-Muslim,Abha,BRITISH,Grade 5,A,2024-25,202,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Hamad Al-Yamani,Aisha Al-Yamani,+966570708490,faisal.alyamani202@parent.com,"245 Al-Nuzha Street, Jeddah"
,Adel Al-Otaibi,عادل العتيبي,Male,2015-12-09,Saudi Arabia,National ID,1269666211,,,Muslim,Tabuk,BRITISH,Grade 6,A,2024-25,203,Regular (Continuing),Seasonal Mode,Regular,2022-09-01,Yes,Yousef Al-Otaibi,Tala Al-Otaibi,+966544809937,adel.alotaibi203@parent.com,"223 Al-Nuzha Street, Jeddah"
,Fahad Al-Yamani,فهد اليماني,Male,2014-03-16,Saudi Arabia,National ID,1775289670,,,Muslim,Khobar,BRITISH,Grade 7,A,2024-25,204,Regular (Continuing),Online Mode,Regular,2025-09-01,Yes,Ibrahim Al-Yamani,Reem Al-Yamani,+966578520785,fahad.alyamani204@parent.com,"43 Al-Nuzha Street, Jeddah"
,Wafa Al-Qahtani,وفاء القحطاني,Female,2013-06-25,Saudi Arabia,National ID,1477805154,,,Muslim,Dammam,BRITISH,Grade 8,A,2024-25,205,Transfer,Online Mode,Transfer,2025-09-01,Yes,Raed Al-Qahtani,Aisha Al-Qahtani,+966524234453,wafa.alqahtani205@parent.com,"29 Al-Nuzha Street, Jeddah"
,Emma Sharma,إيما شارما,Female,2012-02-22,India,Iqama,,2674988115,,Muslim,Amman,BRITISH,Grade 9,A,2024-25,206,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,Hamza Sharma,Nayla Sharma,+966590658604,emma.sharma206@parent.com,"14 Al-Nuzha Street, Jeddah"
,Majed Al-Saud,ماجد آل سعود,Male,2011-08-12,Saudi Arabia,National ID,1900914032,,,Muslim,Jeddah,BRITISH,Grade 10,A,2024-25,207,Transfer,Regular Mode,Transfer,2022-09-01,Yes,Naif Al-Saud,Raghad Al-Saud,+966572715418,majed.alsaud207@parent.com,"136 Al-Nuzha Street, Jeddah"
,Omar Al-Saud,عمر آل سعود,Male,2010-06-15,Saudi Arabia,National ID,1784172770,,,Muslim,Jeddah,BRITISH,Grade 11,A,2024-25,208,Regular (Continuing),Online Mode,Regular,2025-09-01,Yes,Khalid Al-Saud,Ghada Al-Saud,+966591015682,omar.alsaud208@parent.com,"57 Al-Nuzha Street, Jeddah"
,Dana Al-Maliki,دانا المالكي,Female,2009-11-28,Saudi Arabia,National ID,1240114842,,,Muslim,Khobar,BRITISH,Grade 12,A,2024-25,209,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Faisal Al-Maliki,Manal Al-Maliki,+966530443708,dana.almaliki209@parent.com,"41 Al-Nuzha Street, Jeddah"
,Ismail Sheikh,إسماعيل شيخ,Male,2020-02-01,Sudan,Passport,,,LM3180753,Muslim,Amman,BRITISH,KG1,A,2024-25,210,New Student,Regular Mode,New,2022-09-01,Yes,Ahmed Sheikh,Priya Sheikh,+966516006260,ismail.sheikh210@parent.com,"81 Al-Nuzha Street, Jeddah"
,Bilal Sheikh,بلال شيخ,Male,2019-08-08,Philippines,Iqama,,2356968248,,Muslim,Dhaka,BRITISH,KG2,A,2024-25,211,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Aryan Sheikh,Olivia Sheikh,+966547502190,bilal.sheikh211@parent.com,"276 Al-Nuzha Street, Jeddah"
,Asma Al-Sulami,أسماء السلمي,Female,2020-08-06,Saudi Arabia,National ID,1408094429,,,Muslim,Jeddah,BRITISH,Grade 1,A,2024-25,212,New Student,Seasonal Mode,New,2023-09-01,Yes,Nawaf Al-Sulami,Mariam Al-Sulami,+966534914036,asma.alsulami212@parent.com,"207 Al-Nuzha Street, Jeddah"
,Wafa Al-Ghamdi,وفاء الغامدي,Female,2019-07-22,Saudi Arabia,National ID,1836402593,,,Non-Muslim,Khobar,BRITISH,Grade 2,A,2024-25,213,New Student,Seasonal Mode,New,2024-09-01,Yes,Omar Al-Ghamdi,Dana Al-Ghamdi,+966542924657,wafa.alghamdi213@parent.com,"191 Al-Nuzha Street, Jeddah"
,Dana Al-Dosari,دانا الدوسري,Female,2018-10-03,Saudi Arabia,National ID,1594805764,,,Muslim,Mecca,BRITISH,Grade 3,A,2024-25,214,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Bandar Al-Dosari,Lujain Al-Dosari,+966585042255,dana.aldosari214@parent.com,"298 Al-Nuzha Street, Jeddah"
,Nawaf Al-Hashemi,نواف الهاشمي,Male,2017-06-24,Saudi Arabia,National ID,1335899460,,,Non-Muslim,Dammam,BRITISH,Grade 4,A,2024-25,215,Regular (Continuing),Online Mode,Regular,2022-09-01,Yes,Faisal Al-Hashemi,Joud Al-Hashemi,+966508231135,nawaf.alhashemi215@parent.com,"200 Al-Nuzha Street, Jeddah"
,Jana Al-Rashid,جنى الراشد,Female,2016-04-13,Saudi Arabia,National ID,1210147158,,,Muslim,Jeddah,BRITISH,Grade 5,A,2024-25,216,New Student,Seasonal Mode,New,2022-09-01,Yes,Omar Al-Rashid,Noura Al-Rashid,+966540566895,jana.alrashid216@parent.com,"110 Al-Nuzha Street, Jeddah"
,Dana Al-Hashemi,دانا الهاشمي,Female,2015-02-13,Saudi Arabia,National ID,1753634778,,,Muslim,Tabuk,BRITISH,Grade 6,A,2024-25,217,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Hassan Al-Hashemi,Ghada Al-Hashemi,+966550796333,dana.alhashemi217@parent.com,"29 Al-Nuzha Street, Jeddah"
,Olivia Saleh,أوليفيا صالح,Female,2014-04-11,Egypt,Iqama,,2604235387,,Non-Muslim,Dhaka,BRITISH,Grade 7,A,2024-25,218,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Zain Saleh,Maya Saleh,+966504947014,olivia.saleh218@parent.com,"40 Al-Nuzha Street, Jeddah"
,Ismail Siddiqui,إسماعيل صديقي,Male,2013-02-14,Egypt,Passport,,,HN0950855,Non-Muslim,Dhaka,BRITISH,Grade 8,A,2024-25,219,New Student,Regular Mode,New,2024-09-01,Yes,Kabir Siddiqui,Sophia Siddiqui,+966549691923,ismail.siddiqui219@parent.com,"266 Al-Nuzha Street, Jeddah"
,Ibrahim Al-Qahtani,إبراهيم القحطاني,Male,2012-06-19,Saudi Arabia,National ID,1806341594,,,Non-Muslim,Abha,BRITISH,Grade 9,A,2024-25,220,Regular (Continuing),Online Mode,Regular,2025-09-01,Yes,Mohammed Al-Qahtani,Aljawhara Al-Qahtani,+966570685505,ibrahim.alqahtani220@parent.com,"295 Al-Nuzha Street, Jeddah"
,Nayla Kumar,نايلة كومار,Female,2011-06-11,Bangladesh,Iqama,,2662978447,,Non-Muslim,Amman,BRITISH,Grade 10,A,2024-25,221,Regular (Continuing),Online Mode,Regular,2023-09-01,Yes,Bilal Kumar,Khadija Kumar,+966523642065,nayla.kumar221@parent.com,"54 Al-Nuzha Street, Jeddah"
,Aisha Al-Qahtani,عائشة القحطاني,Female,2010-06-01,Saudi Arabia,National ID,1699736719,,,Muslim,Mecca,BRITISH,Grade 11,A,2024-25,222,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,Nawaf Al-Qahtani,Hessa Al-Qahtani,+966509578894,aisha.alqahtani222@parent.com,"136 Al-Nuzha Street, Jeddah"
,Saud Al-Tamimi,سعود التميمي,Male,2009-08-22,Saudi Arabia,National ID,1494578108,,,Muslim,Riyadh,BRITISH,Grade 12,A,2024-25,223,New Student,Seasonal Mode,New,2022-09-01,Yes,Naif Al-Tamimi,Renad Al-Tamimi,+966527092971,saud.altamimi223@parent.com,"278 Al-Nuzha Street, Jeddah"
,Aisha Shaikh,عائشة شيخ,Female,2020-12-18,Syria,Iqama,,2232446686,,Muslim,Jakarta,BRITISH,KG1,A,2024-25,224,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,Hamza Shaikh,Sophia Shaikh,+966539849754,aisha.shaikh224@parent.com,"264 Al-Nuzha Street, Jeddah"
,Maya Hassan,مايا حسن,Female,2019-08-10,Indonesia,Iqama,,2037819240,,Muslim,Cairo,BRITISH,KG2,A,2024-25,225,Regular (Continuing),Online Mode,Regular,2022-09-01,Yes,Kabir Hassan,Sofia Hassan,+966511348783,maya.hassan225@parent.com,"23 Al-Nuzha Street, Jeddah"
,Salman Al-Sulami,سلمان السلمي,Male,2020-01-14,Saudi Arabia,National ID,1132985295,,,Muslim,Jeddah,BRITISH,Grade 1,A,2024-25,226,Transfer,Regular Mode,Transfer,2023-09-01,Yes,Waleed Al-Sulami,Dana Al-Sulami,+966553011512,salman.alsulami226@parent.com,"127 Al-Nuzha Street, Jeddah"
,Riya Wang,ريا وانج,Female,2019-09-23,Indonesia,Iqama,,2246888792,,Muslim,Mumbai,BRITISH,Grade 2,A,2024-25,227,New Student,Seasonal Mode,New,2024-09-01,Yes,John Wang,Mariam Wang,+966506555966,riya.wang227@parent.com,"147 Al-Nuzha Street, Jeddah"
,Waleed Al-Otaibi,وليد العتيبي,Male,2018-09-13,Saudi Arabia,National ID,1636825867,,,Muslim,Dammam,BRITISH,Grade 3,A,2024-25,228,Transfer,Seasonal Mode,Transfer,2025-09-01,Yes,Khalid Al-Otaibi,Joud Al-Otaibi,+966531843677,waleed.alotaibi228@parent.com,"177 Al-Nuzha Street, Jeddah"
,Rohan Hassan,روهان حسن,Male,2017-11-01,Bangladesh,Iqama,,2440245883,,Muslim,Amman,BRITISH,Grade 4,A,2024-25,229,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Talha Hassan,Emma Hassan,+966516993864,rohan.hassan229@parent.com,"28 Al-Nuzha Street, Jeddah"
,Anas Al-Tamimi,أنس التميمي,Male,2016-12-15,Saudi Arabia,National ID,1754637829,,,Muslim,Dammam,BRITISH,Grade 5,A,2024-25,230,New Student,Seasonal Mode,New,2022-09-01,Yes,Abdullah Al-Tamimi,Shaden Al-Tamimi,+966576398584,anas.altamimi230@parent.com,"1 Al-Nuzha Street, Jeddah"
,Yazeed Al-Saud,يزيد آل سعود,Male,2015-03-09,Saudi Arabia,National ID,1731314866,,,Non-Muslim,Khobar,BRITISH,Grade 6,A,2024-25,231,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Nawaf Al-Saud,Lujain Al-Saud,+966520630218,yazeed.alsaud231@parent.com,"182 Al-Nuzha Street, Jeddah"
,Anas Al-Saud,أنس آل سعود,Male,2014-01-09,Saudi Arabia,National ID,1003443574,,,Muslim,Madinah,BRITISH,Grade 7,A,2024-25,232,New Student,Online Mode,New,2022-09-01,Yes,Omar Al-Saud,Renad Al-Saud,+966583189030,anas.alsaud232@parent.com,"176 Al-Nuzha Street, Jeddah"
,Anaya Sheikh,أنايا شيخ,Female,2013-07-06,Philippines,Iqama,,2945919215,,Muslim,Manila,BRITISH,Grade 8,A,2024-25,233,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,Talha Sheikh,Mariam Sheikh,+966586976301,anaya.sheikh233@parent.com,"130 Al-Nuzha Street, Jeddah"
,Shaden Al-Zahrani,شادن الزهراني,Female,2012-10-26,Saudi Arabia,National ID,1196726336,,,Muslim,Khobar,BRITISH,Grade 9,A,2024-25,234,Regular (Continuing),Online Mode,Regular,2023-09-01,Yes,Naif Al-Zahrani,Noura Al-Zahrani,+966549597258,shaden.alzahrani234@parent.com,"76 Al-Nuzha Street, Jeddah"
,Aliya Rahman,عالية رحمن,Female,2011-06-03,Syria,Iqama,,2281948469,,Muslim,Damascus,BRITISH,Grade 10,A,2024-25,235,Transfer,Online Mode,Transfer,2025-09-01,Yes,Ismail Rahman,Emma Rahman,+966561500189,aliya.rahman235@parent.com,"198 Al-Nuzha Street, Jeddah"
,Adel Al-Rashid,عادل الراشد,Male,2010-03-02,Saudi Arabia,National ID,1139929923,,,Muslim,Abha,BRITISH,Grade 11,A,2024-25,236,Regular (Continuing),Online Mode,Regular,2022-09-01,Yes,Anas Al-Rashid,Asma Al-Rashid,+966561587934,adel.alrashid236@parent.com,"287 Al-Nuzha Street, Jeddah"
,Ismail Shaikh,إسماعيل شيخ,Male,2009-03-18,United Kingdom,Passport,,,KF7967086,Non-Muslim,Jakarta,BRITISH,Grade 12,A,2024-25,237,New Student,Regular Mode,New,2024-09-01,Yes,Daniel Shaikh,Anika Shaikh,+966554485433,ismail.shaikh237@parent.com,"253 Al-Nuzha Street, Jeddah"
,Ali Al-Yamani,علي اليماني,Male,2020-09-08,Saudi Arabia,National ID,1281844186,,,Non-Muslim,Dammam,BRITISH,KG1,A,2024-25,238,Transfer,Regular Mode,Transfer,2024-09-01,Yes,Nawaf Al-Yamani,Salma Al-Yamani,+966546901721,ali.alyamani238@parent.com,"188 Al-Nuzha Street, Jeddah"
,Maya Siddiqui,مايا صديقي,Female,2019-07-01,United States,Iqama,,2788443491,,Muslim,Karachi,BRITISH,KG2,A,2024-25,239,New Student,Online Mode,New,2022-09-01,Yes,Kabir Siddiqui,Aliya Siddiqui,+966572589210,maya.siddiqui239@parent.com,"211 Al-Nuzha Street, Jeddah"
,Noura Al-Harbi,نورة الحربي,Female,2020-05-26,Saudi Arabia,National ID,1335798248,,,Muslim,Riyadh,BRITISH,Grade 1,A,2024-25,240,New Student,Seasonal Mode,New,2023-09-01,Yes,Ziyad Al-Harbi,Lama Al-Harbi,+966537403454,noura.alharbi240@parent.com,"34 Al-Nuzha Street, Jeddah"
,Maha Al-Fayez,مها الفايز,Female,2019-05-03,Saudi Arabia,National ID,1717041194,,,Muslim,Madinah,BRITISH,Grade 2,A,2024-25,241,Transfer,Seasonal Mode,Transfer,2024-09-01,Yes,Abdullah Al-Fayez,Wafa Al-Fayez,+966587949883,maha.alfayez241@parent.com,"60 Al-Nuzha Street, Jeddah"
,Dana Al-Otaibi,دانا العتيبي,Female,2018-11-08,Saudi Arabia,National ID,1382692577,,,Muslim,Abha,BRITISH,Grade 3,A,2024-25,242,Transfer,Online Mode,Transfer,2025-09-01,Yes,Mohammed Al-Otaibi,Reem Al-Otaibi,+966509602828,dana.alotaibi242@parent.com,"161 Al-Nuzha Street, Jeddah"
,Amal Al-Saud,أمل آل سعود,Female,2017-08-10,Saudi Arabia,National ID,1942702458,,,Muslim,Riyadh,BRITISH,Grade 4,A,2024-25,243,New Student,Regular Mode,New,2024-09-01,Yes,Saud Al-Saud,Jana Al-Saud,+966530121920,amal.alsaud243@parent.com,"110 Al-Nuzha Street, Jeddah"
,Diya Chen,ديا تشين,Female,2016-03-19,India,Iqama,,2959748497,,Muslim,Jakarta,BRITISH,Grade 5,A,2024-25,244,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,Zayn Chen,Nayla Chen,+966530498334,diya.chen244@parent.com,"297 Al-Nuzha Street, Jeddah"
,Ahmed Hassan,أحمد حسن,Male,2015-04-10,Indonesia,Iqama,,2389053616,,Muslim,Jakarta,BRITISH,Grade 6,A,2024-25,245,Regular (Continuing),Regular Mode,Regular,2022-09-01,Yes,James Hassan,Sana Hassan,+966562273697,ahmed.hassan245@parent.com,"229 Al-Nuzha Street, Jeddah"
,Anvi Malik,أنفي مالك,Female,2014-10-17,Bangladesh,Iqama,,2141808734,,Muslim,London,BRITISH,Grade 7,A,2024-25,246,Regular (Continuing),Regular Mode,Regular,2025-09-01,Yes,Mustafa Malik,Emma Malik,+966544120924,anvi.malik246@parent.com,"226 Al-Nuzha Street, Jeddah"
,Kabir Ali,كبير علي,Male,2013-03-24,India,Passport,,,GK1165617,Non-Muslim,Sanaa,BRITISH,Grade 8,A,2024-25,247,Regular (Continuing),Seasonal Mode,Regular,2022-09-01,Yes,Mustafa Ali,Anvi Ali,+966585797890,kabir.ali247@parent.com,"130 Al-Nuzha Street, Jeddah"
,Sana Ahmed,سناء أحمد,Female,2012-01-23,India,Iqama,,2205986658,,Muslim,Manila,BRITISH,Grade 9,A,2024-25,248,Regular (Continuing),Seasonal Mode,Regular,2025-09-01,Yes,David Ahmed,Olivia Ahmed,+966546069984,sana.ahmed248@parent.com,"10 Al-Nuzha Street, Jeddah"
